Num_Nodos;Num_Procesos;Tipo_Proceso;Identificador;T_In;T_Out;T_Dif
50;3;RESERVA/ANULACION;1698616896;13:24:01.601413;13:54:17.729354;1816127941
50;3;RESERVA/ANULACION;1690224192;13:24:01.601441;13:55:57.737112;1916135671
50;3;RESERVA/ANULACION;1681831488;13:24:01.601452;13:57:37.747265;2016145813
50;3;PAGO;1449125440;13:24:01.601870;13:26:07.608764;126006894
50;3;PAGO;1440732736;13:24:01.601964;13:27:47.616908;226014944
50;3;PAGO;1432340032;13:24:01.602078;13:29:27.625676;326023598
50;3;PAGO;1423947328;13:24:01.602201;13:31:07.633077;426030876
50;3;PAGO;1415554624;13:24:01.602382;13:32:47.639493;526037111
50;3;PAGO;1407161920;13:24:01.602606;13:34:27.646259;626043653
50;3;PAGO;1398769216;13:24:01.602801;13:36:07.656749;726053948
50;3;PAGO;1390376512;13:24:01.602991;13:37:47.662059;826059068
50;3;PAGO;1381983808;13:24:01.603180;13:39:27.667550;926064370
50;3;PAGO;1373591104;13:24:01.603370;13:41:07.675376;1026072006
50;3;RESERVA/ANULACION;1365198400;13:24:01.603576;13:42:47.685123;1126081547
50;3;RESERVA/ANULACION;1356805696;13:24:01.603771;13:44:27.691530;1226087759
50;3;RESERVA/ANULACION;1348412992;13:24:01.603951;13:46:07.700799;1326096848
50;3;RESERVA/ANULACION;1340020288;13:24:01.604174;13:47:47.707809;1426103635
50;3;RESERVA/ANULACION;1331627584;13:24:01.604351;13:49:27.712968;1526108617
50;3;RESERVA/ANULACION;1323234880;13:24:01.604593;13:51:07.718540;1626113947
50;3;RESERVA/ANULACION;1314842176;13:24:01.606110;13:52:47.724355;1726118245
50;3;RESERVA/ANULACION;1306449472;13:24:01.606343;13:54:27.730349;1826124006
50;3;RESERVA/ANULACION;1298056768;13:24:01.606519;13:56:07.737474;1926130955
50;3;RESERVA/ANULACION;1289664064;13:24:01.606675;13:57:47.749040;2026142365
